id,details,time,location,preference,time_request,score,rating,time2
bzike711,,5,,5,1.54,1.8844000000000003,2,25
bzike711,,5,,5,12.15,0.399,2,25
bzike711,,5,,5,4.36,1.4896,2,25
bzike711,,5,,5,20.01,-0.7014000000000002,2,25
bzike711,,5,,5,1.08,1.9488000000000003,2,25
bzike711,,5,,5,14.28,0.1008,2,25
bzike711,,5,,5,17.4,-0.33599999999999985,2,25
bzike711,,5,,5,28.02,-1.8228000000000002,2,25
bzike711,,5,,5,11.22,0.5292,2,25
bzike711,,5,,5,10.6,0.6160000000000001,2,25
bzike711,,5,,5,16.49,-0.2085999999999999,2,25
bzike711,,5,,5,6.26,1.2236000000000002,2,25
bzike711,,5,,5,26.02,-1.5428,2,25
bzike711,,5,,5,27.0,-1.68,2,25
bzike711,,5,,5,18.93,-0.5502,2,25
bzike711,,5,,5,16.28,-0.17920000000000025,2,25
bzike711,,5,,5,10.72,0.5992,2,25
bzike711,,5,,5,4.08,1.5288000000000002,2,25
bzike711,,5,,5,0.64,2.0104,2,25
bzike711,,5,,5,14.37,0.2882,2,25
bzike711,,5,,5,7.52,1.0472000000000001,2,25
bzike711,,5,,5,5.62,1.5132,2,25
bzike711,,5,,5,14.62,0.053200000000000136,2,25
bzike711,,5,,5,24.2,-1.288,2,25
bzike711,,5,,5,1.18,1.9348,2,25
bzike711,,5,,5,8.05,0.973,2,25
bzike711,,5,,5,27.3,-1.7220000000000002,2,25
bzike711,,5,,5,27.49,-1.7486,2,25
bzike711,,5,,5,27.07,-1.6898000000000002,2,25
bzike711,,5,,5,16.69,-0.23660000000000014,2,25
bzike711,,5,,5,28.14,-1.8396000000000001,2,25
bzike711,,5,,5,3.42,1.6212000000000002,2,25
bzike711,,5,,5,25.35,-1.4490000000000005,2,25
bzike711,,5,,5,26.75,-1.6450000000000002,2,25
bzike711,,5,,5,3.29,1.6394000000000002,2,25
bzike711,,5,,5,3.57,1.8002000000000002,2,25
bzike711,,5,,5,29.35,-2.0090000000000003,2,25
bzike711,,5,,5,25.99,-1.3386,2,25
bzike711,,5,,5,23.19,-1.1466000000000005,2,25
bzike711,,5,,5,2.61,1.9346,2,25
bzike711,,5,,5,10.5,0.6300000000000001,2,25
bzike711,,5,,5,26.73,-1.6422,2,25
bzike711,,5,,5,6.76,1.1536000000000002,2,25
bzike711,,5,,5,0.96,1.9656000000000002,2,25
bzike711,,5,,5,14.95,0.007000000000000117,2,25
bzike711,,5,,5,6.71,1.3606,2,25
bzike711,,5,,5,4.22,1.5092,2,25
bzike711,,5,,5,17.7,-0.3779999999999999,2,25
bzike711,,5,,5,9.59,0.7574000000000001,2,25
bzike711,,5,,5,23.76,-1.2264000000000002,2,25
tblum963,,25,,5,1.54,4.484400000000001,1,20
tblum963,,25,,5,12.15,2.9990000000000006,1,20
tblum963,,25,,5,4.36,4.089600000000001,1,20
tblum963,,25,,5,20.01,1.8986,1,20
tblum963,,25,,5,1.08,4.548800000000001,1,20
tblum963,,25,,5,14.28,2.7008,1,20
tblum963,,25,,5,17.4,2.2640000000000002,1,20
tblum963,,25,,5,28.02,0.7772000000000002,1,20
tblum963,,25,,5,11.22,3.1292,1,20
tblum963,,25,,5,10.6,3.2160000000000006,1,20
tblum963,,25,,5,16.49,2.3914000000000004,1,20
tblum963,,25,,5,6.26,3.8236000000000008,1,20
tblum963,,25,,5,26.02,1.0572000000000001,1,20
tblum963,,25,,5,27.0,1.12,1,20
tblum963,,25,,5,18.93,2.0498000000000003,1,20
tblum963,,25,,5,16.28,2.4208,1,20
tblum963,,25,,5,10.72,3.1992000000000003,1,20
tblum963,,25,,5,4.08,4.128800000000001,1,20
tblum963,,25,,5,0.64,4.6104,1,20
tblum963,,25,,5,14.37,2.6882,1,20
tblum963,,25,,5,7.52,3.6472000000000007,1,20
tblum963,,25,,5,5.62,3.9132000000000002,1,20
tblum963,,25,,5,14.62,2.6532000000000004,1,20
tblum963,,25,,5,24.2,1.3120000000000003,1,20
tblum963,,25,,5,1.18,4.534800000000001,1,20
tblum963,,25,,5,8.05,3.5730000000000004,1,20
tblum963,,25,,5,27.3,0.8780000000000001,1,20
tblum963,,25,,5,27.49,1.0514000000000003,1,20
tblum963,,25,,5,27.07,0.9102000000000001,1,20
tblum963,,25,,5,16.69,2.3634000000000004,1,20
tblum963,,25,,5,28.14,0.7604000000000001,1,20
tblum963,,25,,5,3.42,4.2212,1,20
tblum963,,25,,5,25.35,1.351,1,20
tblum963,,25,,5,26.75,0.9550000000000002,1,20
tblum963,,25,,5,3.29,4.239400000000001,1,20
tblum963,,25,,5,3.57,4.200200000000001,1,20
tblum963,,25,,5,29.35,0.591,1,20
tblum963,,25,,5,25.99,1.0614000000000003,1,20
tblum963,,25,,5,23.19,1.4534,1,20
tblum963,,25,,5,2.61,4.3346,1,20
tblum963,,25,,5,10.5,3.2300000000000004,1,20
